day_of_week_encoded,platform_encoded,topic_category_encoded,emotion_type_encoded,location_encoded,language_encoded,sentiment_bucket_encoded,toxicity_bucket_encoded,past_perf_bucket_encoded,growth_bucket_encoded,sentiment_score,toxicity_score,user_past_sentiment_avg,user_engagement_growth,sentiment_bucket,toxicity_bucket,past_perf_bucket,growth_bucket,sentiment_toxicity_interaction,abs_sentiment,perf_momentum,toxicity_squared,sentiment_squared,engagement_rate
1,1,2,1,15,7,4,0,2,0,1.6829161933958985,-1.6179402442290467,0.16272591752109505,-1.2699668845776848,4,0,2,0,0.03694576,0.9826,-0.03499416,0.00141376,0.96550276,0.19319
3,3,0,0,30,8,1,4,2,0,-0.6509476361479465,1.6226761337707178,0.23487258724997268,-1.5590046080883184,1,4,2,0,-0.36848995,0.3793,-0.0617419,0.94381225,0.14386849000000002,0.05086
2,2,5,1,1,8,1,2,3,0,-0.6171880962096149,0.029607305052769435,0.4925888161372615,-1.4217289351083278,1,2,3,0,-0.18425903999999999,0.3596,-0.11739759999999999,0.26255375999999997,0.12931215999999998,0.45425
1,4,0,4,9,2,0,2,0,1,-1.2488513663247929,-0.3597246979578029,-0.3657137523440256,-0.06104418660063129,0,2,0,1,-0.29142564,0.7282,0.00349698,0.16016004,0.5302752399999999,0.42293
4,3,5,3,2,5,4,0,4,2,0.9347225316154134,-1.4492991092351624,1.1883879482340334,0.27490180707401923,4,0,4,2,0.0470652,0.546,0.05541668999999999,0.00743044,0.29811600000000005,0.08773
3,2,2,2,25,7,0,3,4,0,-0.8589886589151267,0.719786764935148,1.574788862070426,-1.5772850369022366,0,3,4,0,-0.35614791000000007,0.5007,-0.41500485,0.5059476900000001,0.25070049000000005,0.64908
6,1,4,1,13,6,0,2,0,1,-0.9158829089634825,-0.11196796876925671,-1.6090297987053808,-0.2828237286260936,0,2,0,1,-0.25178724,0.5339,0.07503030000000001,0.22240656000000003,0.28504921000000005,0.16139
1,2,2,4,29,3,3,3,0,3,0.34761499948991126,0.993568360635096,-1.7075377516044252,0.7388108024460983,3,3,0,3,0.16072668,0.2034,-0.21156312,0.6244160400000001,0.04137156,0.04442
0,2,0,2,17,8,4,3,0,1,1.4023864122839758,0.5622495729861285,-1.4106264569509672,-0.6756804912497352,4,3,0,1,0.54530551,0.8189,0.15823931,0.44342281000000006,0.6705972099999999,0.03274
4,4,3,2,7,3,0,4,1,2,-1.122724354169402,1.3599984811156347,-0.21361608563194456,0.4759865240271212,0,4,1,2,-0.5863906799999999,0.6546,-0.016916300000000002,0.8024576400000001,0.42850115999999994,0.06759
6,4,2,0,17,5,4,0,0,1,1.1936599166246469,-1.7296736711179987,-0.5963749800829853,-0.4514865529658308,4,0,0,1,0.0037643400000000006,0.6971,0.04447775999999999,2.9160000000000002e-05,0.48594841000000005,0.04844
3,3,5,1,8,7,3,4,3,0,0.6144353227588565,1.5185766677251102,0.6576936949398854,-0.8857329657341934,3,4,3,0,0.33809265,0.3591,-0.09738306000000001,0.88642225,0.12895280999999997,0.35282
0,4,1,4,16,5,4,2,1,3,0.7995130036390499,0.14238172660217796,-0.1324510821869572,1.4738220062660987,4,2,1,3,0.25452279000000005,0.4671,-0.03207967,0.29691601000000006,0.21818241000000002,0.1565
3,0,4,2,31,1,2,0,4,2,-0.1400989632740055,-1.333401703704386,1.536807802766041,0.6612052084247468,2,0,4,2,-0.00971152,0.0812,0.17104052,0.01430416,0.006593439999999999,0.39783
0,3,2,1,26,7,1,1,0,3,-0.6492339539175743,-1.0224912984481713,-1.3499261338617674,0.7315676136707722,1,1,0,3,-0.07914036,0.3783,-0.16555739000000003,0.04376464,0.14311089000000002,0.15672
2,1,4,2,11,8,1,4,1,0,-0.4185723257094815,1.2694319456559562,-0.18673451397815602,-0.8367552130629403,1,4,1,0,-0.21194589,0.2437,0.02565792,0.75637809,0.05938969,1.05387
6,4,3,1,12,7,0,3,0,0,-0.9008025053362073,0.7884924125252488,-0.42294548554241407,-1.6790345935080087,0,3,0,0,-0.38390061,0.5251,0.11775792,0.53450721,0.27573001,0.14421
4,0,2,0,29,3,4,2,0,2,1.1103749602285597,-0.2452152853076346,-0.7906160139684252,0.6284384020601762,4,2,0,2,0.28093019999999996,0.6485,-0.08324608,0.18766223999999998,0.42055224999999996,0.04295
